conversacion,plantilla,mensaje,botones,tipo,proposito,estado,activo,equipo,equipo_fuente,nivel_documentacion,en_uso_real,envios_historicos,entregados_historicos,tasa_respuesta_hist,n_envios_batches,primer_envio,ultimo_envio,auditoria
1ss No asistió a primera sesión,freepass_cl_no_asistio_primera_sesion,"Hola {{hubspot_firstname}}, nos percatamos de que no lograste asistir a tu primera sesión. Tu especialista nos avisó que te esperó y nos apena que no hayas logrado asistir. Estamos acá para apoyarte.",Sin botones,Utilidad,Cuando el cliente no asiste a primera sesión,Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
APP: Cómo habilitar notificaciones,Sin documentar,Sin documentar,Sin documentar,Sin documentar,push masivo para habilitar notificaciones por la app,Inactivo,False,Sin equipo documentado,Sin documentar,Parcial,False,0,0,,0,,,OK
AUT - Recordatorio 30 minutos antes,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Inactivo,False,ATC,Inferido (nombre equivalente documentado),Sin documentar,False,0,0,,0,,,OK
Actividad: Push Mis Clientes,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Inactivo,False,Sin equipo documentado,Sin documentar,Sin documentar,False,0,0,,0,,,OK
Adelantar consultoria,adelantar_consultoria,"Hola {{hubspot_firstname}}, te contactamos desde Opción Yo porque notamos que el tiempo de espera de tu tour de bienvenida es muy alto y queremos ofrecerte para agilizar tu inicio y adelantar esta sesión.",Sin botones,Utilidad,Sin documentar,Manual activo,True,Consultores,Original (spreadsheet),Parcial,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Agendamiento exitoso,ag_existoso_15_min_despues_de_agendar,"Tu sesión ha sido programada con éxito. Mientras tanto, puedes ingresar a la plataforma y visitar tu perfil para ver un breve tutorial que te ayudará a familiarizarte con todas las funcionalidades que tenemos.










",adelantar                             no gracias ,Utilidad,Cuando agenda exitosamente viejo onboarding,Push Activo,True,ATC,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Aviso Navidad y año nuevo,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Inactivo,False,Sin equipo documentado,Sin documentar,Sin documentar,False,0,0,,0,,,OK
Baseline test,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Inactivo,False,Sin equipo documentado,Sin documentar,Sin documentar,False,0,0,,0,,,OK
CON LINK: Recordatorio consultoria 30 min antes,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Inactivo,False,Consultores,Inferido (nombre equivalente documentado),Sin documentar,True,140,137,17.8,2,2026-01-27 02:30:42,2026-01-28 11:30:28,⚠️ Catálogo dice Inactivo pero SÍ tiene envíos reales — revisar y actualizar estado
CONLINK: Recordatorio consultoria 30 min antes,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Inactivo,False,Consultores,Inferido (nombre equivalente documentado),Sin documentar,True,140,137,17.8,2,2026-01-27 02:30:42,2026-01-28 11:30:28,⚠️ Catálogo dice Inactivo pero SÍ tiene envíos reales — revisar y actualizar estado
Caída de internet especialista cancela,Sin documentar,Sin documentar,Sin documentar,Utilidad,Sin documentar,Manual activo,True,ATC,Original (spreadsheet),Parcial,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Cancelación Client Success,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Inactivo,False,Sin equipo documentado,Sin documentar,Sin documentar,False,0,0,,0,,,OK
Cancelar plan,push_cancelar_plan_hsm_1,"Hola {{hubspot_firstname}}, Lamentamos mucho que quieras abandonar tu proceso de bienestar.  El proceso de cancelación solo se realiza a través de nuestra plataforma, pero antes nos encantaría entender en qué podemos seguir mejorando. ¿Podrías compartir conmigo el motivo que te lleva a tomar esta decisión?",Sin documentar,Utilidad,Sin documentar,Manual activo,True,Cancelaciones,Original (spreadsheet),Parcial,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
