conversacion,plantilla,mensaje,botones,tipo,proposito,estado,activo,equipo,equipo_fuente,nivel_documentacion,en_uso_real,envios_historicos,entregados_historicos,tasa_respuesta_hist,n_envios_batches,primer_envio,ultimo_envio,auditoria
Recordatorio 3hs antes,recordatorio_sdd,Hola {{hubspot_firstname}} 👋🏼 Te recordamos que tienes una sesión agendada en Opción Yo en 3 horas. Tenlo presente para estar en un rinconcito privado y sin distracciones 🧘🏼✨ ¡Te esperamos! 💛,Sin botones,Utilidad,Recordatorio de sesion agendada 3 horas antes,Push Activo,True,Consultores,Original (spreadsheet),Completa,True,6411,6289,13.8,405,2026-01-03 11:01:12,2026-07-17 21:00:29,OK
1ss No asistió a primera sesión,freepass_cl_no_asistio_primera_sesion,"Hola {{hubspot_firstname}}, nos percatamos de que no lograste asistir a tu primera sesión. Tu especialista nos avisó que te esperó y nos apena que no hayas logrado asistir. Estamos acá para apoyarte.",Sin botones,Utilidad,Cuando el cliente no asiste a primera sesión,Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Agendamiento exitoso,ag_existoso_15_min_despues_de_agendar,"Tu sesión ha sido programada con éxito. Mientras tanto, puedes ingresar a la plataforma y visitar tu perfil para ver un breve tutorial que te ayudará a familiarizarte con todas las funcionalidades que tenemos.",adelantar                             no gracias,Utilidad,Cuando agenda exitosamente viejo onboarding,Push Activo,True,ATC,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Cliente no asistió,cl_no_asistio,"Hola {{hubspot_firstname}}, nos percatamos de que no lograste asistir a tu sesión agendada. Tu especialista nos avisó que te esperó y nos apena que no hayas logrado asistir. Estamos acá para apoyarte.",Solicitar asistencia,Utilidad,Cuando el cliente no asiste,Push Activo,True,Mantenimiento,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Confirmación de match,confirm_match,"Hola, {{hubspot_firstname}}. El primer paso para asegurar que tu experiencia sea de calidad, es hacer click con tu especialista. ✅

Si no estás conforme recuerda que te podemos poner en contacto con tu Consultor/a, para darte garantía y apoyarte a encontrar otro especialista para que logres tus objetivos. ✨","Me gustó
Cambiar",Utilidad,cuando no confirma el match desde la plataforma entonces se le manda por whatsapp,Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Cuarta sesión si asistió,seguimiento_4ss_asistio,"Hola {{hubspot_firstname}}

Terminaste tus primeras 4 sesiones 🎉

Ahora empiezas una etapa más profunda de tu proceso. Si algo no ha sido como esperabas o necesitas claridad para el siguiente paso, estoy aquí para ayudarte.","Quiero que me escribas
Todo estuvo bien",Marketing,cuando termina exitosamente la 4ta sesion,Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
"Inasistencia 2, 3 o 4ta sesión con AR",inasis_sin_etapa_10__ver_2,"Hola {{hubspot_firstname}}, notamos que no lograste asistir a tu sesión. Tu especialista te esperó y nos apena que no hayas podido conectarte. Te recordamos que tu próxima sesión está agendada para el {{hubspot_proxima_sesion}}. Si alguna situación te está impidiendo asistir, por favor comunícate con nosotros para ayudarte a reagendar con tiempo y continuar tu proceso 🫶",Sin botones,Utilidad,cuando el cliente de primer mesno asiste y tiene AR,Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
"Inasistencia 2, 3, o 4ta sesión",inasistencia_sin_sesion_futura_version_2,"Hola {{hubspot_firstname}}, notamos que no pudiste asistir a tu sesión.

Si hay algo que esté dificultando tu asistencia, estamos aquí para ayudarte.",Sin botones,Utilidad,cuando el cliente de primer mesno asiste y no tiene AR,Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Inasistencia Primera sesión,seguimiento_1ss_no_asistio,"Hola {{hubspot_firstname}},

Vimos que no pudiste asistir a tu primera sesión y nos apena mucho. Sabemos que a veces surgen imprevistos y tu especialista nos pidió contactarte para ayudarte a reagendar.

Lo importante es que tu proceso pueda comenzar pronto. Aunque normalmente las sesiones no canceladas con al menos 24h se consideran tomadas, al ser la primera queremos que puedas recuperarla.

Quedamos pendientes de ti para reagendarla. 💛","Reagendar mi sesión
Quiero que me contacten",Utilidad,Cuando no asiste a la primera sesión,Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Inasistencia con AR,inasis_sin_etapa_10_ver_2,"Hola {{hubspot_firstname}}, notamos que no lograste asistir a tu sesión. Tu especialista te esperó y nos apena que no hayas podido conectarte. Te recordamos que tu próxima sesión está agendada para el {{hubspot_proxima_sesion}}. Si alguna situación te está impidiendo asistir, por favor comunícate con nosotros para ayudarte a reagendar con tiempo y continuar tu proceso 🫶",Sin botones,Utilidad,cuando el cliente de otros meses no asiste y tiene AR,Push Activo,True,ATC,Original (spreadsheet),Completa,True,123,122,20.8,2,2026-01-27 12:31:06,2026-01-28 13:30:21,OK
Inasistencia sin AR,inasis_sin_etapa_10_ver_2,"Hola {{hubspot_firstname}}, notamos que no lograste asistir a tu sesión. Tu especialista te esperó y nos apena que no hayas podido conectarte. Te recordamos que tu próxima sesión está agendada para el {{hubspot_proxima_sesion}}. Si alguna situación te está impidiendo asistir, por favor comunícate con nosotros para ayudarte a reagendar con tiempo y continuar tu proceso 🫶",Sin botones,Utilidad,cuando el cliente de otros meses no asiste y no tiene AR,Push Activo,True,ATC,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Inasistencia sin sesiones futuras,inasistencia_sin_sesion_futura_version_2,"Hola {{hubspot_firstname}}, notamos que no pudiste asistir a tu sesión.

Si hay algo que esté dificultando tu asistencia, estamos aquí para ayudarte.",Sin botones,Utilidad,Cuando el cliente no asiste y no tiene otras sesiones agendadas,Push Activo,True,ATC,Original (spreadsheet),Completa,True,66,65,26.2,1,2026-01-28 13:30:28,2026-01-28 13:30:28,OK
Informe pago fallido 48hs,informe_pago_fallido,"Hola, {{hubspot_firstname}}💛 Te escribimos porque no pudimos procesar el pago de tu plan en Opción Yo. 

Si necesitas ayuda para revisar tu método de pago, respóndenos este mensaje. 

Estamos aquí para ayudarte ✨",Sin botones,Utilidad,48 horas después de que el pago haya fallido,Push Activo,True,ATC,Original (spreadsheet),Completa,True,10,9,55.6,1,2026-07-02 13:10:13,2026-07-02 13:10:13,OK
Llamada desde WHATSAPP,push_wa_llamada,"Hola {{hubspot_firstname}}, espero te encuentres bien. Soy tu consultor en Opción Yo y estaré contactándote por llamada en los próximos minutos desde el número +1 305 7442903 para poder apoyarte en tu proceso de bienestar. Espero me puedas contestar.",Solicitar asistencia,Utilidad,Avisa al cliente que recibirá una llamada cercana de su consultor desde un número específico.,Push Activo,True,Consultores,Inferido por patrón de nombre (revisar),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Mensaje bienvenida a Opción Yo,mensaje_bienvenida,"¡Bienvenido a Opción Yo! 💙

Tu compra ha sido procesada con éxito. A partir de ahora, este será tu contacto de atención al cliente. Si en algún momento necesitas ayuda o tienes alguna dificultad, no dudes en escribirnos. Estamos aquí para apoyarte en tu camino. 🚀✨

¡Que disfrutes tu experiencia! 😊",Sin botones,Utilidad,Inmediatamente con la compra,Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Notificación especialista sesión hoy,aviso_esp_agenda_hoy_con_datos,"Hola {{hubspot_firstname}}, Tienes una nueva sesión agendada con {{hubspot_hsm_sesion_agendada_yopsi_id_cliente}} para el día {{hubspot_hsm_sesion_agendada_yopsi_id_fecha_hora_cita}}. Por favor revisa tu agenda para estar disponible a la hora programada. ⏰",Sin botones,Utilidad,Notificacion hacia el especialista para recordar que tiene sesion agendada hoy,Push Activo,True,ATC,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Onboarding 24hs sin agendar consultoria,onb_push_24hs_ver4,"Hola {{hubspot_firstname}}, vimos que aún no has finalizado tus datos para iniciar tu proceso. Puedes completarlos aquí.
Si necesitas ayuda, estamos disponibles.",link: Continuar,Utilidad,"viejo onboarding, cuando ha pasado 24hs sin agendar la consultoria",Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Onboarding 3hs sin agendar consultoria,onb_3hs_v3,"Hola {{hubspot_firstname}}, vimos que iniciaste tu proceso en Opción Yo. Para continuar, es necesario completar tu información aquí.
Si necesitas ayuda con este paso, podemos acompañarte.",link: Continuar,Utilidad,"viejo onboarding, cuando ha pasado 3hs sin agendar la consultoria",Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Onboarding 6hs sin agendar Consultoria,onb_6hs_ver4,"Hola {{hubspot_firstname}}, notamos que tu registro está en curso. Para poder avanzar con tu proceso en Opción Yo, puedes completar tu información aquí. ¿Te gustaría apoyo para hacerlo?",link: Continuar,Utilidad,"viejo onboarding, cuando ha pasado 6hs sin agendar la consultoria",Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Pago fallido,past_due_utilidad,"Hola {{hubspot_firstname}}, no pudimos procesar el pago de tu suscripción. Para evitar la interrupción del servicio, te recomendamos revisar o actualizar tu información de pago. Si necesitas asistencia, estamos disponibles para ayudarte.",Sin botones,Utilidad,Cuando el pago falla,Push Activo,True,ATC,Original (spreadsheet),Completa,True,930,888,13.7,74,2026-01-03 17:31:25,2026-07-01 17:30:43,OK
Pago fallido AR dia 5,payment_update,"{{hubspot_firstname}}, el intento de pago en Opción Yo no se procesó correctamente. Si deseas mantener tu reserva con el especialista, te recomendamos contactarnos dentro de las próximas 24 horas para revisar las opciones disponibles.",Sin botones,Utilidad,Cuando el pago falla y tiene AR,Push Activo,True,ATC,Original (spreadsheet),Completa,True,11,11,18.2,1,2026-01-21 17:32:30,2026-01-21 17:32:30,OK
Primera sesión si asistió,1ss_saludo_consultor,"Hola {{hubspot_firstname}} 🌱 Soy {{hubspot_hsm_nombre_consultor}}, Te escribo para asegurar que estás conforme con tu primera sesión. ¿Te sentiste escuchado/a? ¿Hubo claridad? ¿Sentiste conexión?  Si algo no te convenció, escríbeme y lo revisamos juntos.",quiero que me escribas       todo estuvo bien,Utilidad,Cuando completa exitosamente la primera sesión,Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
